bucket,concurrency,repeat,requests,errors,visual_tokens_per_request,wall_seconds,visual_tokens_per_second,client_mean_ms,client_p50_ms,client_p95_ms,encoder_path_mean_ms,encoder_path_p95_ms,downstream_mean_ms,gpu0_util_mean,gpu0_util_peak,gpu0_memory_util_mean,gpu0_memory_util_peak,gpu0_power_watts_mean,gpu0_power_watts_peak,gpu0_memory_used_mib_mean,gpu0_memory_used_mib_peak,gpu0_samples,gpu1_util_mean,gpu1_util_peak,gpu1_memory_util_mean,gpu1_memory_util_peak,gpu1_power_watts_mean,gpu1_power_watts_peak,gpu1_memory_used_mib_mean,gpu1_memory_used_mib_peak,gpu1_samples,encoder_running_mean,encoder_running_peak,encoder_waiting_mean,encoder_waiting_peak,encoder_kv_cache_usage_mean,encoder_kv_cache_usage_peak,pd_running_mean,pd_running_peak,pd_waiting_mean,pd_waiting_peak,pd_kv_cache_usage_mean,pd_kv_cache_usage_peak
4k_class,16,1,64,0,9216,45.81261144,12874.708108977427,11071.662076,11298.589372,14046.652034,11071.662076,14046.652034,,92.28205128205128,100.0,6.766899766899767,12.0,321.46668997668996,348.78,19176.0,19176.0,429.0,0.0,0.0,0.0,0.0,119.92461538461538,120.04,119556.0,119556.0,429.0,4.5874125874125875,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4k_class,16,2,64,0,9216,46.045823891,12809.500409770832,11132.31929325,11312.155099,14208.693049,11132.31929325,14208.693049,,92.44096385542169,100.0,6.891566265060241,12.0,321.55484337349395,350.07,19176.0,19176.0,415.0,0.0,0.0,0.0,0.0,119.95248192771085,120.07,119556.0,119556.0,415.0,4.739759036144578,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4k_class,1,0,32,0,9216,36.0299283,8185.195306092241,1125.865423375,1118.370126,1166.345734,1125.865423375,1166.345734,,58.56637168141593,100.0,4.277286135693215,8.0,245.15035398230089,265.03,19176.0,19176.0,339.0,0.0,0.0,0.0,0.0,120.06560471976401,120.15,119556.0,119556.0,339.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4k_class,1,1,32,0,9216,36.310963114,8121.844608585834,1134.64948765625,1131.031299,1175.311015,1134.64948765625,1175.311015,,57.74096385542169,100.0,4.156626506024097,8.0,243.907078313253,265.32,19176.0,19176.0,332.0,0.0,0.0,0.0,0.0,120.0208734939759,120.1,119556.0,119556.0,332.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4k_class,1,2,32,0,9216,35.889867829,8217.138090480872,1121.48915809375,1117.816757,1175.841272,1121.48915809375,1175.841272,,59.963746223564954,100.0,4.2507552870090635,8.0,245.67552870090634,265.87,19176.0,19176.0,331.0,0.0,0.0,0.0,0.0,119.96039274924472,120.09,119556.0,119556.0,331.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4k_class,4,0,32,0,9216,23.335324797,12638.007080060614,2872.54014034375,2855.23352,3572.942298,2872.54014034375,3572.942298,,92.00478468899522,100.0,6.607655502392345,11.0,315.32832535885166,339.32,8178.0,8178.0,209.0,0.0,0.0,0.0,0.0,119.93473684210527,120.12,119556.0,119556.0,209.0,1.105263157894737,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4k_class,4,1,32,0,9216,23.322867045,12644.757586234398,2870.1671294375,2857.481358,3573.731649,2870.1671294375,3573.731649,,91.54128440366972,100.0,6.68348623853211,11.0,315.6533486238532,339.56,19176.0,19176.0,218.0,0.0,0.0,0.0,0.0,119.93302752293579,120.05,119556.0,119556.0,218.0,1.114678899082569,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4k_class,4,2,32,0,9216,23.488938166,12555.356820125744,2891.0386525,2865.077753,3586.071286,2891.0386525,3586.071286,,90.84037558685446,100.0,6.572769953051643,11.0,312.79840375586855,340.58,19176.0,19176.0,213.0,0.0,0.0,0.0,0.0,120.02699530516432,120.13,119556.0,119556.0,213.0,1.0892018779342723,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
low,16,0,64,0,256,2.089963219,7839.37241146252,474.823430578125,420.116753,844.802842,474.823430578125,844.802842,,52.416666666666664,80.0,4.25,7.0,192.48166666666665,207.7,19176.0,19176.0,12.0,0.0,0.0,0.0,0.0,120.08833333333334,120.15,119556.0,119556.0,12.0,2.25,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
low,16,1,64,0,256,2.327465131,7039.418026838745,530.7581725,588.432278,790.010806,530.7581725,790.010806,,32.72727272727273,60.0,2.1818181818181817,5.0,180.82181818181817,207.84,19176.0,19176.0,11.0,0.0,0.0,0.0,0.0,120.03636363636363,120.13,119556.0,119556.0,11.0,2.5454545454545454,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
