workload,input_tokens,output_tokens,concurrency,repeat,requests,errors,wall_seconds,tokens_per_second,client_mean_ms,client_p50_ms,client_p95_ms,ttft_seconds,tpot_seconds,queue_seconds,prefill_seconds,decode_seconds,gpu0_util_mean,gpu0_util_peak,gpu0_memory_util_mean,gpu0_memory_util_peak,gpu0_power_watts_mean,gpu0_power_watts_peak,gpu0_memory_used_mib_mean,gpu0_memory_used_mib_peak,gpu1_util_mean,gpu1_util_peak,gpu1_memory_util_mean,gpu1_memory_util_peak,gpu1_power_watts_mean,gpu1_power_watts_peak,gpu1_memory_used_mib_mean,gpu1_memory_used_mib_peak,pd_running_mean,pd_running_peak,pd_waiting_mean,pd_waiting_peak,pd_kv_cache_usage_mean,pd_kv_cache_usage_peak
decode,128,256,16,1,16,0,3.759271195,1089.5728952590237,3751.9064839375,3750.742369,3759.236884,0.21143853664398193,0.013816607034509404,4.277296829968691e-05,0.18043040728662163,3.5232347937999293,0.0,0.0,0.0,0.0,119.22970588235295,119.28,19176.0,19176.0,46.3235294117647,80.0,25.11764705882353,29.0,241.03176470588235,269.23,119558.0,119558.0,16.0,16.0,0.0,0.0,0.002208951044978405,0.003311144069258143
decode,128,256,16,2,16,0,3.765873344,1087.6627081805543,3757.7297943125,3756.476179,3765.873344,0.20470398664474487,0.01385946793563897,4.635320510715246e-05,0.16955410176888108,3.534164323587902,0.0,0.0,0.0,0.0,119.4272972972973,119.51,19176.0,19176.0,44.78378378378378,81.0,25.027027027027028,29.0,241.4918918918919,274.84,119558.0,119558.0,16.0,16.0,0.0,0.0,0.0022246749215327857,0.003311144069258143
decode,128,256,1,0,1,0,3.338444387,76.68242160836091,3338.444387,3338.444387,3338.444387,,0.012937085940411208,2.310425043106079e-05,0.028449706733226776,3.298956914804876,0.0,0.0,0.0,0.0,119.42033333333333,119.47,19176.0,19176.0,41.03333333333333,43.0,27.566666666666666,29.0,231.207,276.08,119558.0,119558.0,0.9666666666666667,1.0,0.0,0.0,0.00013422780211315156,0.00020694650432862005
decode,128,256,1,1,1,0,3.341872516,76.6037599502494,3341.872516,3341.872516,3341.872516,0.03244209289550781,0.01295149223696379,2.783164381980896e-05,0.02854054421186447,3.302630520425737,0.0,0.0,0.0,0.0,119.49666666666667,119.55,19176.0,19176.0,40.515151515151516,45.0,27.303030303030305,29.0,239.14000000000001,279.67,119558.0,119558.0,1.0,1.0,0.0,0.0,0.00014345155413688436,0.00020694650432862005
decode,128,256,1,2,1,0,3.342069921,76.59923521989053,3342.069921,3342.069921,3342.069921,,0.01295485506382077,2.5719404220581055e-05,0.028589265421032906,3.3034880412742496,0.0,0.0,0.0,0.0,119.53696969696969,119.6,19176.0,19176.0,40.666666666666664,43.0,27.393939393939394,29.0,236.38727272727274,271.48,119558.0,119558.0,1.0,1.0,0.0,0.0,0.0001429289619542352,0.00020694650432862005
decode,128,256,8,0,8,0,3.570526851,573.5848196818391,3566.130321875,3565.309624,3570.444208,0.12432323183332171,0.013487036886405845,1.4208024367690086e-05,0.09515716356690973,3.4391944060334936,0.0,0.0,0.0,0.0,118.84633333333333,118.89,19176.0,19176.0,44.13333333333333,67.0,26.1,29.0,248.99633333333333,284.7,119558.0,119558.0,7.733333333333333,8.0,0.0,0.0,0.0010100139114039028,0.0015176076984099174
decode,128,256,8,1,8,0,3.600351214,568.8333938190065,3595.173824,3595.598551,3599.417068,0.09662649035453796,0.013661961998863381,1.3273092918097973e-05,0.08048885059542954,3.4838003097102046,0.0,0.0,0.0,0.0,119.31933333333333,119.4,19176.0,19176.0,44.2,49.0,26.133333333333333,28.0,233.65333333333334,258.27,119558.0,119558.0,7.733333333333333,8.0,0.0,0.0,0.0010922176617344367,0.0016555720346290714
decode,128,256,8,2,8,0,3.575659584,572.7614589387042,3571.188599,3570.830317,3575.540136,,0.013567208856636315,1.7270795069634914e-05,0.08055998594500124,3.4596382584422827,0.0,0.0,0.0,0.0,119.52548387096775,119.57,19176.0,19176.0,44.806451612903224,69.0,27.580645161290324,28.0,250.58903225806452,263.19,119558.0,119558.0,7.741935483870968,8.0,0.0,0.0,0.0011560076236421864,0.0016555720346290714
decode,4096,1024,16,0,16,0,21.052302316,778.2521718561853,21001.813274375,20998.784726,21035.935867,4.12742592394352,0.016476706336131713,2.2116878304514103,1.8672706568031572,16.855670581862796,0.0,0.0,0.0,0.0,119.48788659793814,119.6,19176.0,19176.0,73.35051546391753,100.0,26.835051546391753,36.0,302.2511855670103,337.16,119558.0,119558.0,13.469072164948454,16.0,2.0876288659793816,13.0,0.03296169782894628,0.04414858759010798
decode,4096,1024,16,1,16,0,21.059220063,777.996523659766,21009.274226375,21006.478232,21043.572969,4.1179149597883224,0.016494229626589224,2.2146235583350062,1.8674568042624742,16.873596908000764,0.0,0.0,0.0,0.0,119.49760204081633,119.66,19176.0,19176.0,73.13775510204081,100.0,27.153061224489797,36.0,303.8816326530612,345.69,119558.0,119558.0,13.801020408163266,16.0,1.780612244897959,13.0,0.0336717008398227,0.04414858759010798
decode,4096,1024,16,2,16,0,21.068255562,777.6628659067146,21019.8416730625,21019.938002,21053.365639,4.120806112885475,0.016501739890806832,2.2122261576587334,1.8674311430659145,16.881279908295255,0.0,0.0,0.0,0.0,119.42242268041237,119.65,19176.0,19176.0,73.39690721649484,100.0,26.79381443298969,36.0,301.3195360824742,329.96,119558.0,119558.0,14.092783505154639,16.0,1.5463917525773196,13.0,0.034211021785919886,0.04414858759010798
