bucket,concurrency,repeat,requests,errors,visual_tokens_per_request,wall_seconds,visual_tokens_per_second,client_mean_ms,client_p50_ms,client_p95_ms,encoder_path_mean_ms,encoder_path_p95_ms,downstream_mean_ms,gpu0_util_mean,gpu0_util_peak,gpu0_memory_util_mean,gpu0_memory_util_peak,gpu0_power_watts_mean,gpu0_power_watts_peak,gpu0_memory_used_mib_mean,gpu0_memory_used_mib_peak,gpu0_samples,gpu1_util_mean,gpu1_util_peak,gpu1_memory_util_mean,gpu1_memory_util_peak,gpu1_power_watts_mean,gpu1_power_watts_peak,gpu1_memory_used_mib_mean,gpu1_memory_used_mib_peak,gpu1_samples,encoder_running_mean,encoder_running_peak,encoder_waiting_mean,encoder_waiting_peak,encoder_kv_cache_usage_mean,encoder_kv_cache_usage_peak,pd_running_mean,pd_running_peak,pd_waiting_mean,pd_waiting_peak,pd_kv_cache_usage_mean,pd_kv_cache_usage_peak
low,4,2,32,0,256,2.609957026,3138.748997930819,320.4314945625,315.834231,433.040857,170.375,294.0,140.0625,19.941176470588236,29.0,1.0588235294117647,2.0,149.66941176470587,158.53,20380.0,20380.0,17.0,29.41176470588235,80.0,3.8823529411764706,10.0,180.1670588235294,213.08,120150.0,120150.0,17.0,0.11764705882352941,1.0,0.0,0.0,0.0,0.0,0.5882352941176471,3.0,0.0,0.0,9.129992838027356e-05,0.0004656296347393951
medium,16,0,64,0,1024,7.542048806,8689.416057326956,1749.860211484375,1713.490219,2496.96851,535.875,1137.0,1206.5,47.57534246575342,100.0,4.2465753424657535,10.0,222.503698630137,320.72,7039.068493150685,7040.0,73.0,85.21917808219177,100.0,6.534246575342466,11.0,289.51835616438353,318.7,119854.0,119854.0,73.0,0.9863013698630136,9.0,0.0,0.0,0.0,0.0,4.958904109589041,8.0,0.1232876712328767,1.0,0.0027960220913031105,0.004440727072051898
medium,16,1,64,0,1024,7.616182935,8604.835330153477,1768.886688625,1774.112643,2365.213802,546.859375,1205.0,1215.3125,43.0,100.0,3.966666666666667,10.0,218.5515,331.76,20380.0,20380.0,60.0,82.4,100.0,6.516666666666667,9.0,276.0945,320.15,120150.0,120150.0,60.0,0.9833333333333333,7.0,0.0,0.0,0.0,0.0,4.5,8.0,0.23333333333333334,2.0,0.0025478851216960475,0.004440727072051898
medium,16,2,64,0,1024,7.567922699,8659.707902230517,1747.789145875,1683.550988,2602.525358,548.25,1152.0,1192.859375,46.10958904109589,100.0,4.232876712328767,10.0,222.84616438356164,331.25,20380.0,20380.0,73.0,87.10958904109589,100.0,6.684931506849315,9.0,284.9609589041096,316.97,120150.0,120150.0,73.0,1.0136986301369864,8.0,0.0,0.0,0.0,0.0,5.068493150684931,8.0,0.7534246575342466,3.0,0.0028476405972343993,0.004440727072051898
medium,1,0,32,0,1024,9.487049562,3453.9716258309563,296.418529875,293.953886,316.237598,124.0625,143.0,170.15625,18.622222222222224,28.0,1.3333333333333333,2.0,159.34133333333332,168.59,15750.0,15750.0,90.0,34.18888888888889,53.0,4.055555555555555,6.0,196.9338888888889,215.13,119854.0,119854.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
medium,1,1,32,0,1024,9.294439353,3525.5488529734025,290.40654403125,287.107075,316.044082,120.6875,142.0,167.5,18.033333333333335,29.0,1.2777777777777777,2.0,159.611,168.63,15750.0,15750.0,90.0,35.1,53.0,4.055555555555555,6.0,198.602,217.08,120150.0,120150.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
medium,1,2,32,0,1024,9.339711752,3508.459454648917,291.80450228125,290.71606,313.901449,120.15625,141.0,169.28125,17.9438202247191,29.0,1.2696629213483146,2.0,159.88011235955057,168.88,20380.0,20380.0,89.0,37.26966292134831,53.0,4.337078651685394,6.0,196.7285393258427,218.63,120150.0,120150.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
medium,4,0,32,0,1024,4.197344782,7806.840205389637,507.360364125,483.810365,795.187015,185.625,362.0,316.84375,45.861111111111114,89.0,3.3055555555555554,7.0,202.7747222222222,228.27,15750.0,15750.0,36.0,73.05555555555556,99.0,7.444444444444445,11.0,266.44972222222225,319.55,119854.0,119854.0,36.0,0.08333333333333333,1.0,0.0,0.0,0.0,0.0,0.7777777777777778,2.0,0.0,0.0,0.0004426355787029126,0.0011382057738075213
medium,4,1,32,0,1024,3.919987068,8359.211250336706,470.1946741875,447.769251,725.082841,174.40625,308.0,292.75,46.15384615384615,77.0,3.282051282051282,6.0,209.9879487179487,235.73,15750.0,15750.0,39.0,81.66666666666667,100.0,7.717948717948718,11.0,276.03871794871793,319.02,120150.0,120150.0,39.0,0.05128205128205128,1.0,0.0,0.0,0.0,0.0,0.8717948717948718,2.0,0.0,0.0,0.0004961409783263412,0.0011382057738075213
medium,4,2,32,0,1024,4.584518615,7147.533416657312,552.59366878125,474.867765,807.373492,212.21875,306.0,336.96875,38.55,93.0,2.975,8.0,194.906,222.62,20380.0,20380.0,40.0,70.425,100.0,6.575,11.0,247.013,312.77,120150.0,120150.0,40.0,0.05,2.0,0.0,0.0,0.0,0.0,0.775,3.0,0.0,0.0,0.00044105473735039924,0.0017073086607112264
