workload,input_tokens,output_tokens,concurrency,repeats,errors,tokens_per_second_mean,tokens_per_second_std,client_mean_ms_mean,client_mean_ms_std,client_p95_ms_mean,client_p95_ms_std,ttft_seconds_mean,ttft_seconds_std,tpot_seconds_mean,tpot_seconds_std,queue_seconds_mean,queue_seconds_std,prefill_seconds_mean,prefill_seconds_std,decode_seconds_mean,decode_seconds_std,gpu0_util_mean_mean,gpu0_util_mean_std,gpu0_util_peak_mean,gpu0_util_peak_std,gpu1_util_mean_mean,gpu1_util_mean_std,gpu1_util_peak_mean,gpu1_util_peak_std,gpu1_memory_util_mean_mean,gpu1_memory_util_mean_std,gpu1_memory_util_peak_mean,gpu1_memory_util_peak_std,gpu1_power_watts_mean_mean,gpu1_power_watts_mean_std,gpu1_power_watts_peak_mean,gpu1_power_watts_peak_std,gpu0_memory_used_mib_mean_mean,gpu0_memory_used_mib_mean_std,gpu0_memory_used_mib_peak_mean,gpu0_memory_used_mib_peak_std,gpu1_memory_used_mib_mean_mean,gpu1_memory_used_mib_mean_std,gpu1_memory_used_mib_peak_mean,gpu1_memory_used_mib_peak_std,pd_running_mean_mean,pd_running_mean_std,pd_running_peak_mean,pd_running_peak_std,pd_waiting_mean_mean,pd_waiting_mean_std,pd_waiting_peak_mean,pd_waiting_peak_std,pd_kv_cache_usage_mean_mean,pd_kv_cache_usage_mean_std,pd_kv_cache_usage_peak_mean,pd_kv_cache_usage_peak_std
decode,4096,256,16,3,0,397.6608610358507,0.42024240063750373,10251.13123225,11.144381472063197,10286.803426666667,14.38189125647991,4.121703003843625,0.002189846957125728,0.023975000743224586,2.3187120516943705e-05,2.212911288292768,0.0012543226676899153,1.8673251511645503,0.0001609953738701559,6.113625189522281,0.005912715731825541,0.0,0.0,0.0,0.0,85.33304988662131,0.3251551392933609,100.0,0.0,16.54109977324263,0.08163412933283522,36.0,0.0,281.02355087868483,1.929288043524597,340.24,18.949015805576824,19176.0,0.0,19176.0,0.0,119558.0,0.0,119558.0,0.0,11.140873015873016,0.06847394415372024,16.0,0.0,4.0269274376417235,0.07207520982179838,13.0,0.0,0.02504051297021184,0.00015290177160716964,0.037520550937582664,9.956718331853102e-06
decode,4096,256,8,3,0,298.0694170725058,0.20748763216590277,6848.4936942916665,7.719721727170803,6866.335023000001,5.426350990238747,2.33231520652771,0.004638164578696713,0.017646509826828586,3.631285504448464e-05,0.6326398673700169,0.02877693389745869,1.664284023999547,0.03274979976304744,4.49986000584128,0.009259778036338082,0.0,0.0,0.0,0.0,76.51411273911273,1.9446756964547738,100.0,0.0,18.349806674806675,1.1125464371806488,32.0,0.0,266.6703524114774,0.46242249806938746,287.85,0.648382603097911,19176.0,0.0,19176.0,0.0,119558.0,0.0,119558.0,0.0,6.144721713471713,0.11548500359020303,8.0,0.0,0.8941977004477004,0.18499569025436574,4.333333333333333,0.5773502691896257,0.013870504665993018,0.00026522149817961605,0.018763149725795847,0.0
prefill,16000,1,1,3,0,8258.645821145641,2.9579276928072544,1937.36379,0.6938924238070739,1937.36379,0.6938924238070739,1.91679843266805,0.00046284669401838486,0.0,0.0,2.7378089725971222e-05,4.95219261080357e-06,1.9130090853820245,0.00048267295260967643,0.0,0.0,0.0,0.0,0.0,0.0,90.54191033138402,2.0569283540586625,100.0,0.0,5.684210526315789,0.278500138006799,7.0,0.0,241.36284600389862,1.3944451916350242,288.9,1.228454313354816,19176.0,0.0,19176.0,0.0,119558.0,0.0,119558.0,0.0,0.5536062378167641,0.02636988159545555,1.0,0.0,0.0,0.0,0.0,0.0,0.004773619820445977,0.00022738145065580783,0.00862277101369291,0.0
prefill,16000,1,16,3,0,8340.26500283925,1.4778938175623557,16624.3802986875,5.8369861569455,30663.435737333333,6.596309940471029,16.57633097966512,0.006270540276327765,0.0,0.0,12.773755789986657,0.003254869346810247,3.741162606185147,0.0005120384239365943,0.0,0.0,0.0,0.0,0.0,0.0,99.45405120510546,0.2633058990046709,100.0,0.0,6.090867923725174,0.041003126732812374,7.0,0.0,277.0872776915061,0.7304649283146005,282.0566666666667,0.20984120980717555,19176.0,0.0,19176.0,0.0,119558.0,0.0,119558.0,0.0,1.4657706115257474,0.016847054208622717,2.0,0.0,6.862360804219485,0.22522690505704712,14.0,0.0,0.007967042324287167,4.70156305986847e-05,0.011726968578622432,0.0
prefill,16000,1,8,3,0,8326.09586692729,1.4550491884888321,8803.115957958335,2.724501197634289,15359.12845,3.5079336946505983,8.763383597135544,0.002314314796656404,0.0,0.0,5.097038156391743,0.0006882322747623894,3.616492921990963,0.00038616347351958576,0.0,0.0,0.0,0.0,0.0,0.0,98.60786128594347,0.3356977722644394,100.0,0.0,6.084289769221276,0.044835052578715576,7.0,0.0,274.1434838948538,0.6250922076522051,292.3,2.040318602571648,19176.0,0.0,19176.0,0.0,119558.0,0.0,119558.0,0.0,1.402104158953474,0.032838814192894084,2.0,0.0,2.6658953474021967,0.04801665562077859,6.0,0.0,0.007033857053394123,0.00014617731433260605,0.01007139654399336,0.0
prefill,4096,1,1,3,0,9323.758988751673,7.58564387070905,439.3079886666667,0.35754934276029143,439.3079886666667,0.35754934276029143,0.4271879990895589,0.000250096468038805,0.0,0.0,2.3395133515199024e-05,3.994874213933775e-06,0.42492362080762786,4.887680349177662e-05,0.0,0.0,0.0,0.0,0.0,0.0,76.33333333333333,20.647840887931437,100.0,0.0,5.277777777777778,1.4938144066387504,7.0,0.0,159.57444444444445,6.054374298649543,177.82666666666665,2.216536337020745,19176.0,0.0,19176.0,0.0,119558.0,0.0,119558.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prefill,4096,1,16,3,0,9679.007800098714,1.6777049057855304,3791.825152958333,0.7315861663382848,6753.67823,0.8786095844181352,3.769965206583341,0.0017512944033666977,0.0,0.0,2.209346233032799,0.0020968963150731356,1.5209083484951407,0.0003505307026097168,0.0,0.0,0.0,0.0,0.0,0.0,97.52602701957541,0.5341497194473739,100.0,0.0,6.838544251447478,0.038461805276696966,7.0,0.0,265.8938970223325,0.8991189992104854,281.74666666666667,1.0728622154467642,19176.0,0.0,19176.0,0.0,119558.0,0.0,119558.0,0.0,1.7970223325062036,0.011218515687798754,2.0,0.0,6.193893024538186,0.4912091304609519,13.0,0.0,0.00396679989240153,2.4764081123689582e-05,0.00441485875901082,0.0
prefill,4096,1,8,3,0,9630.743820916068,2.4982411564583025,2100.9525850833334,30.52032031473454,3394.2675756666667,1.108334306426373,2.1590020528861453,0.12247679328742708,0.0,0.0,0.6803738288525936,0.0734010286682475,1.439859705932793,0.07028671927222728,0.0,0.0,0.0,0.0,0.0,0.0,95.17647058823529,4.210712980746654,100.0,0.0,6.6568627450980395,0.300422616589109,7.0,0.0,260.18322803195355,10.528371017723623,279.93333333333334,0.5923118547972323,19176.0,0.0,19176.0,0.0,119558.0,0.0,119558.0,0.0,1.6318082788671024,0.1541615648830891,2.0,0.0,2.0152505446623095,0.4761981044530369,4.666666666666667,0.5773502691896257,0.003602101536491394,0.00034030076751345636,0.00441485875901082,0.0
prefill,512,1,1,3,0,7511.58555395434,106.07146669667821,68.170438,0.9627407643664998,68.170438,0.9627407643664998,0.0597070058186849,0.0011657203378778206,0.0,0.0,2.7230940759181976e-05,1.9077426306982938e-06,0.05745919638623794,0.0011049900290811033,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefill,512,1,16,3,0,9820.889525855155,15.785561959016794,766.1478860833333,21.71468347312877,834.093644,1.3890199970666846,0.745625838637352,0.02118723732941168,0.0,0.0,4.186651979883512e-05,1.4180078142211707e-05,0.7168193009177534,0.02534792723559112,0.0,0.0,0.0,0.0,0.0,0.0,77.75,1.14564392373896,100.0,0.0,5.875,0.33071891388307384,7.666666666666667,0.5773502691896257,190.49708333333334,4.1719122813565175,246.37333333333333,4.855371595803285,19176.0,0.0,19176.0,0.0,119558.0,0.0,119558.0,0.0,12.875,2.2603926650031405,14.666666666666666,0.5773502691896257,0.0,0.0,0.0,0.0,0.003552581657641496,0.0006237071472433135,0.004046953862426557,0.00015930749330932915
prefill,512,1,8,3,0,9373.779192972926,7.036461386826407,355.90918854166665,0.3059255001237716,436.9185043333333,0.3457862526479562,0.34072672327359516,0.00046298375852232984,0.0,0.0,2.2318136567870777e-05,4.714897448439643e-06,0.31438088067807257,0.007114645187394663,0.0,0.0,0.0,0.0,0.0,0.0,58.5,15.256146302392358,94.0,10.392304845413264,4.166666666666667,1.0103629710818451,6.666666666666667,0.5773502691896257,159.90583333333333,2.832355836284233,191.25333333333333,3.587998513563421,19176.0,0.0,19176.0,0.0,119558.0,0.0,119558.0,0.0,4.5,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0012416790259718036,0.0,0.0016555720346290714,0.0
